Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,-73.27912331,1,1,1,1,1
45000.09999,-73.2784539,1,1,1,1,1
45000.14999,-73.27778041,1,1,1,1,1
45000.19999,-73.27710283,1,1,1,1,1
45000.24999,-73.27642118,1,1,1,1,1
45000.29999,-73.27573548,1,1,1,1,1
45000.34999,-73.27504574,1,1,1,1,1
45000.39999,-73.27435197,1,1,1,1,1
45000.44999,-73.27365418,1,1,1,1,1
45000.49999,-73.2729524,1,1,1,1,1
45000.54999,-73.27224662,1,1,1,1,1
45000.59999,-73.27153687,1,1,1,1,1
45000.64999,-73.27082315,1,1,1,1,1
45000.69999,-73.27010548,1,1,1,1,1
45000.74999,-73.26938388,1,1,1,1,1
45000.79999,-73.26865834,1,1,1,1,1
45000.84999,-73.2679289,1,1,1,1,1
45000.89999,-73.26719555,1,1,1,1,1
45000.94999,-73.26645832,1,1,1,1,1
45000.99999,-73.26571721,1,1,1,1,1
45001.04999,-73.26497224,1,1,1,1,1
45001.09999,-73.26422341,1,1,1,1,1
45001.14999,-73.26347075,1,1,1,1,1
45001.19999,-73.26271427,1,1,1,1,1
45001.24999,-73.26195396,1,1,1,1,1
45001.29999,-73.26118986,1,1,1,1,1
45001.34999,-73.26042197,1,1,1,1,1
45001.39999,-73.2596503,1,1,1,1,1
45001.44999,-73.25887487,1,1,1,1,1
45001.49999,-73.25809568,1,1,1,1,1
45001.54999,-73.25731275,1,1,1,1,1
45001.59999,-73.25652609,1,1,1,1,1
45001.64999,-73.25573572,1,1,1,1,1
45001.69999,-73.25494164,1,1,1,1,1
45001.74999,-73.25414387,1,1,1,1,1
45001.79999,-73.25334242,1,1,1,1,1
45001.84999,-73.25253729,1,1,1,1,1
45001.89999,-73.25172851,1,1,1,1,1
45001.94999,-73.25091609,1,1,1,1,1
45001.99999,-73.25010003,1,1,1,1,1
45002.04999,-73.24928034,1,1,1,1,1
45002.09999,-73.24845705,1,1,1,1,1
45002.14999,-73.24763016,1,1,1,1,1
45002.19999,-73.24679968,1,1,1,1,1
45002.24999,-73.24596562,1,1,1,1,1
45002.29999,-73.245128,1,1,1,1,1
45002.34999,-73.24428682,1,1,1,1,1
45002.39999,-73.2434421,1,1,1,1,1
45002.44999,-73.24259385,1,1,1,1,1
45002.49999,-73.24174209,1,1,1,1,1
45002.54999,-73.24088681,1,1,1,1,1
45002.59999,-73.24002804,1,1,1,1,1
45002.64999,-73.23916578,1,1,1,1,1
45002.69999,-73.23830005,1,1,1,1,1
45002.74999,-73.23743085,1,1,1,1,1
45002.79999,-73.2365582,1,1,1,1,1
45002.84999,-73.23568211,1,1,1,1,1
45002.89999,-73.23480259,1,1,1,1,1
45002.94999,-73.23391965,1,1,1,1,1
45002.99999,-73.2330333,1,1,1,1,1
45003.04999,-73.23214356,1,1,1,1,1
45003.09999,-73.23125043,1,1,1,1,1
45003.14999,-73.23035392,1,1,1,1,1
45003.19999,-73.22945405,1,1,1,1,1
45003.24999,-73.22855083,1,1,1,1,1
45003.29999,-73.22764426,1,1,1,1,1
45003.34999,-73.22673436,1,1,1,1,1
45003.39999,-73.22582113,1,1,1,1,1
45003.44999,-73.2249046,1,1,1,1,1
45003.49999,-73.22398477,1,1,1,1,1
45003.54999,-73.22306164,1,1,1,1,1
45003.59999,-73.22213524,1,1,1,1,1
45003.64999,-73.22120557,1,1,1,1,1
45003.69999,-73.22027263,1,1,1,1,1
45003.74999,-73.21933645,1,1,1,1,1
45003.79999,-73.21839704,1,1,1,1,1
45003.84999,-73.21745439,1,1,1,1,1
45003.89999,-73.21650853,1,1,1,1,1
45003.94999,-73.21555946,1,1,1,1,1
45003.99999,-73.2146072,1,1,1,1,1
45004.04999,-73.21365175,1,1,1,1,1
45004.09999,-73.21269312,1,1,1,1,1
45004.14999,-73.21173133,1,1,1,1,1
45004.19999,-73.21076638,1,1,1,1,1
45004.24999,-73.20979829,1,1,1,1,1
45004.29999,-73.20882706,1,1,1,1,1
45004.34999,-73.2078527,1,1,1,1,1
45004.39999,-73.20687523,1,1,1,1,1
45004.44999,-73.20589465,1,1,1,1,1
45004.49999,-73.20491098,1,1,1,1,1
45004.54999,-73.20392423,1,1,1,1,1
45004.59999,-73.20293439,1,1,1,1,1
45004.64999,-73.20194149,1,1,1,1,1
45004.69999,-73.20094554,1,1,1,1,1
45004.74999,-73.19994654,1,1,1,1,1
45004.79999,-73.1989445,1,1,1,1,1
45004.84999,-73.19793944,1,1,1,1,1
45004.89999,-73.19693135,1,1,1,1,1
45004.94999,-73.19592026,1,1,1,1,1
45004.99999,-73.19490618,1,1,1,1,1
45005.04999,-73.1938891,1,1,1,1,1
45005.09999,-73.19286905,1,1,1,1,1
45005.14999,-73.19184602,1,1,1,1,1
45005.19999,-73.19082004,1,1,1,1,1
45005.24999,-73.1897911,1,1,1,1,1
45005.29999,-73.18875923,1,1,1,1,1
45005.34999,-73.18772442,1,1,1,1,1
45005.39999,-73.18668669,1,1,1,1,1
45005.44999,-73.18564605,1,1,1,1,1
45005.49999,-73.18460251,1,1,1,1,1
45005.54999,-73.18355607,1,1,1,1,1
45005.59999,-73.18250675,1,1,1,1,1
45005.64999,-73.18145455,1,1,1,1,1
45005.69999,-73.18039948,1,1,1,1,1
45005.74999,-73.17934156,1,1,1,1,1
45005.79999,-73.17828079,1,1,1,1,1
45005.84999,-73.17721718,1,1,1,1,1
45005.89999,-73.17615074,1,1,1,1,1
45005.94999,-73.17508148,1,1,1,1,1
45005.99999,-73.1740094,1,1,1,1,1
45006.04999,-73.17293453,1,1,1,1,1
45006.09999,-73.17185686,1,1,1,1,1
45006.14999,-73.1707764,1,1,1,1,1
45006.19999,-73.16969317,1,1,1,1,1
45006.24999,-73.16860717,1,1,1,1,1
45006.29999,-73.16751842,1,1,1,1,1
45006.34999,-73.16642691,1,1,1,1,1
45006.39999,-73.16533267,1,1,1,1,1
45006.44999,-73.16423569,1,1,1,1,1
45006.49999,-73.16313599,1,1,1,1,1
45006.54999,-73.16203357,1,1,1,1,1
45006.59999,-73.16092845,1,1,1,1,1
45006.64999,-73.15982063,1,1,1,1,1
45006.69999,-73.15871012,1,1,1,1,1
45006.74999,-73.15759693,1,1,1,1,1
45006.79999,-73.15648107,1,1,1,1,1
45006.84999,-73.15536255,1,1,1,1,1
45006.89999,-73.15424138,1,1,1,1,1
45006.94999,-73.15311755,1,1,1,1,1
45006.99999,-73.15199109,1,1,1,1,1
45007.04999,-73.150862,1,1,1,1,1
45007.09999,-73.1497303,1,1,1,1,1
45007.14999,-73.14859597,1,1,1,1,1
45007.19999,-73.14745905,1,1,1,1,1
45007.24999,-73.14631953,1,1,1,1,1
45007.29999,-73.14517742,1,1,1,1,1
45007.34999,-73.14403273,1,1,1,1,1
45007.39999,-73.14288547,1,1,1,1,1
45007.44999,-73.14173565,1,1,1,1,1
45007.49999,-73.14058328,1,1,1,1,1
45007.54999,-73.13942836,1,1,1,1,1
45007.59999,-73.1382709,1,1,1,1,1
45007.64999,-73.13711091,1,1,1,1,1
45007.69999,-73.1359484,1,1,1,1,1
45007.74999,-73.13478338,1,1,1,1,1
45007.79999,-73.13361585,1,1,1,1,1
45007.84999,-73.13244582,1,1,1,1,1
45007.89999,-73.13127331,1,1,1,1,1
45007.94999,-73.13009831,1,1,1,1,1
45007.99999,-73.12892084,1,1,1,1,1
45008.04999,-73.1277409,1,1,1,1,1
45008.09999,-73.1265585,1,1,1,1,1
45008.14999,-73.12537366,1,1,1,1,1
45008.19999,-73.12418637,1,1,1,1,1
45008.24999,-73.12299664,1,1,1,1,1
45008.29999,-73.1218045,1,1,1,1,1
45008.34999,-73.12060993,1,1,1,1,1
45008.39999,-73.11941295,1,1,1,1,1
45008.44999,-73.11821356,1,1,1,1,1
45008.49999,-73.11701179,1,1,1,1,1
45008.54999,-73.11580762,1,1,1,1,1
45008.59999,-73.11460107,1,1,1,1,1
45008.64999,-73.11339215,1,1,1,1,1
45008.69999,-73.11218087,1,1,1,1,1
45008.74999,-73.11096722,1,1,1,1,1
45008.79999,-73.10975123,1,1,1,1,1
45008.84999,-73.10853289,1,1,1,1,1
45008.89999,-73.10731222,1,1,1,1,1
45008.94999,-73.10608922,1,1,1,1,1
45008.99999,-73.10486391,1,1,1,1,1
45009.04999,-73.10363627,1,1,1,1,1
45009.09999,-73.10240634,1,1,1,1,1
45009.14999,-73.1011741,1,1,1,1,1
45009.19999,-73.09993958,1,1,1,1,1
45009.24999,-73.09870277,1,1,1,1,1
45009.29999,-73.09746368,1,1,1,1,1
45009.34999,-73.09622233,1,1,1,1,1
45009.39999,-73.09497871,1,1,1,1,1
45009.44999,-73.09373284,1,1,1,1,1
45009.49999,-73.09248473,1,1,1,1,1
45009.54999,-73.09123437,1,1,1,1,1
45009.59999,-73.08998178,1,1,1,1,1
45009.64999,-73.08872697,1,1,1,1,1
45009.69999,-73.08746993,1,1,1,1,1
45009.74999,-73.08621069,1,1,1,1,1
45009.79999,-73.08494924,1,1,1,1,1
45009.84999,-73.08368559,1,1,1,1,1
45009.89999,-73.08241976,1,1,1,1,1
45009.94999,-73.08115174,1,1,1,1,1
45009.99999,-73.07988154,1,1,1,1,1
45010.04999,-73.07860918,1,1,1,1,1
45010.09999,-73.07733465,1,1,1,1,1
45010.14999,-73.07605797,1,1,1,1,1
45010.19999,-73.07477914,1,1,1,1,1
45010.24999,-73.07349817,1,1,1,1,1
45010.29999,-73.07221506,1,1,1,1,1
45010.34999,-73.07092983,1,1,1,1,1
45010.39999,-73.06964247,1,1,1,1,1
45010.44999,-73.068353,1,1,1,1,1
45010.49999,-73.06706143,1,1,1,1,1
45010.54999,-73.06576775,1,1,1,1,1
45010.59999,-73.06447198,1,1,1,1,1
45010.64999,-73.06317412,1,1,1,1,1
45010.69999,-73.06187418,1,1,1,1,1
45010.74999,-73.06057217,1,1,1,1,1
45010.79999,-73.05926809,1,1,1,1,1
45010.84999,-73.05796195,1,1,1,1,1
45010.89999,-73.05665375,1,1,1,1,1
45010.94999,-73.05534351,1,1,1,1,1
45010.99999,-73.05403123,1,1,1,1,1
45011.04999,-73.05271691,1,1,1,1,1
45011.09999,-73.05140057,1,1,1,1,1
45011.14999,-73.0500822,1,1,1,1,1
45011.19999,-73.04876182,1,1,1,1,1
45011.24999,-73.04743943,1,1,1,1,1
45011.29999,-73.04611504,1,1,1,1,1
45011.34999,-73.04478865,1,1,1,1,1
45011.39999,-73.04346027,1,1,1,1,1
45011.44999,-73.04212991,1,1,1,1,1
45011.49999,-73.04079758,1,1,1,1,1
45011.54999,-73.03946327,1,1,1,1,1
45011.59999,-73.03812701,1,1,1,1,1
45011.64999,-73.03678878,1,1,1,1,1
45011.69999,-73.0354486,1,1,1,1,1
45011.74999,-73.03410648,1,1,1,1,1
45011.79999,-73.03276242,1,1,1,1,1
45011.84999,-73.03141643,1,1,1,1,1
45011.89999,-73.03006851,1,1,1,1,1
45011.94999,-73.02871867,1,1,1,1,1
45011.99999,-73.02736692,1,1,1,1,1
45012.04999,-73.02601325,1,1,1,1,1
45012.09999,-73.02465769,1,1,1,1,1
45012.14999,-73.02330023,1,1,1,1,1
45012.19999,-73.02194089,1,1,1,1,1
45012.24999,-73.02057966,1,1,1,1,1
45012.29999,-73.01921655,1,1,1,1,1
45012.34999,-73.01785157,1,1,1,1,1
45012.39999,-73.01648473,1,1,1,1,1
45012.44999,-73.01511602,1,1,1,1,1
45012.49999,-73.01374547,1,1,1,1,1
45012.54999,-73.01237306,1,1,1,1,1
45012.59999,-73.01099882,1,1,1,1,1
45012.64999,-73.00962274,1,1,1,1,1
45012.69999,-73.00824483,1,1,1,1,1
45012.74999,-73.00686509,1,1,1,1,1
45012.79999,-73.00548354,1,1,1,1,1
45012.84999,-73.00410018,1,1,1,1,1
45012.89999,-73.00271501,1,1,1,1,1
45012.94999,-73.00132804,1,1,1,1,1
45012.99999,-72.99993928,1,1,1,1,1
45013.04999,-72.99854872,1,1,1,1,1
45013.09999,-72.99715639,1,1,1,1,1
45013.14999,-72.99576227,1,1,1,1,1
45013.19999,-72.99436639,1,1,1,1,1
45013.24999,-72.99296874,1,1,1,1,1
45013.29999,-72.99156933,1,1,1,1,1
45013.34999,-72.99016816,1,1,1,1,1
45013.39999,-72.98876525,1,1,1,1,1
45013.44999,-72.98736059,1,1,1,1,1
45013.49999,-72.9859542,1,1,1,1,1
45013.54999,-72.98454607,1,1,1,1,1
45013.59999,-72.98313622,1,1,1,1,1
45013.64999,-72.98172464,1,1,1,1,1
45013.69999,-72.98031135,1,1,1,1,1
45013.74999,-72.97889635,1,1,1,1,1
45013.79999,-72.97747965,1,1,1,1,1
45013.84999,-72.97606125,1,1,1,1,1
45013.89999,-72.97464115,1,1,1,1,1
45013.94999,-72.97321937,1,1,1,1,1
45013.99999,-72.9717959,1,1,1,1,1
45014.04999,-72.97037076,1,1,1,1,1
45014.09999,-72.96894395,1,1,1,1,1
45014.14999,-72.96751547,1,1,1,1,1
45014.19999,-72.96608532,1,1,1,1,1
45014.24999,-72.96465353,1,1,1,1,1
45014.29999,-72.96322008,1,1,1,1,1
45014.34999,-72.96178499,1,1,1,1,1
45014.39999,-72.96034826,1,1,1,1,1
45014.44999,-72.95890989,1,1,1,1,1
45014.49999,-72.9574699,1,1,1,1,1
45014.54999,-72.95602828,1,1,1,1,1
45014.59999,-72.95458504,1,1,1,1,1
45014.64999,-72.95314019,1,1,1,1,1
45014.69999,-72.95169374,1,1,1,1,1
45014.74999,-72.95024568,1,1,1,1,1
45014.79999,-72.94879602,1,1,1,1,1
45014.84999,-72.94734477,1,1,1,1,1
45014.89999,-72.94589193,1,1,1,1,1
45014.94999,-72.94443751,1,1,1,1,1
45014.99999,-72.94298152,1,1,1,1,1
45015.04999,-72.94152395,1,1,1,1,1
45015.09999,-72.94006481,1,1,1,1,1
45015.14999,-72.93860411,1,1,1,1,1
45015.19999,-72.93714186,1,1,1,1,1
45015.24999,-72.93567806,1,1,1,1,1
45015.29999,-72.9342127,1,1,1,1,1
45015.34999,-72.93274581,1,1,1,1,1
45015.39999,-72.93127738,1,1,1,1,1
45015.44999,-72.92980742,1,1,1,1,1
45015.49999,-72.92833593,1,1,1,1,1
45015.54999,-72.92686292,1,1,1,1,1
45015.59999,-72.92538839,1,1,1,1,1
45015.64999,-72.92391235,1,1,1,1,1
45015.69999,-72.9224348,1,1,1,1,1
45015.74999,-72.92095575,1,1,1,1,1
45015.79999,-72.91947521,1,1,1,1,1
45015.84999,-72.91799317,1,1,1,1,1
45015.89999,-72.91650964,1,1,1,1,1
45015.94999,-72.91502463,1,1,1,1,1
45015.99999,-72.91353814,1,1,1,1,1
45016.04999,-72.91205018,1,1,1,1,1
45016.09999,-72.91056076,1,1,1,1,1
45016.14999,-72.90906986,1,1,1,1,1
45016.19999,-72.90757751,1,1,1,1,1
45016.24999,-72.90608371,1,1,1,1,1
45016.29999,-72.90458845,1,1,1,1,1
45016.34999,-72.90309175,1,1,1,1,1
45016.39999,-72.90159361,1,1,1,1,1
45016.44999,-72.90009404,1,1,1,1,1
45016.49999,-72.89859303,1,1,1,1,1
45016.54999,-72.8970906,1,1,1,1,1
45016.59999,-72.89558675,1,1,1,1,1
45016.64999,-72.89408148,1,1,1,1,1
45016.69999,-72.8925748,1,1,1,1,1
45016.74999,-72.89106671,1,1,1,1,1
45016.79999,-72.88955721,1,1,1,1,1
45016.84999,-72.88804632,1,1,1,1,1
45016.89999,-72.88653404,1,1,1,1,1
45016.94999,-72.88502036,1,1,1,1,1
45016.99999,-72.8835053,1,1,1,1,1
45017.04999,-72.88198886,1,1,1,1,1
45017.09999,-72.88047105,1,1,1,1,1
45017.14999,-72.87895186,1,1,1,1,1
45017.19999,-72.87743131,1,1,1,1,1
45017.24999,-72.87590939,1,1,1,1,1
45017.29999,-72.87438612,1,1,1,1,1
45017.34999,-72.87286149,1,1,1,1,1
45017.39999,-72.87133551,1,1,1,1,1
45017.44999,-72.86980819,1,1,1,1,1
45017.49999,-72.86827953,1,1,1,1,1
45017.54999,-72.86674953,1,1,1,1,1
45017.59999,-72.8652182,1,1,1,1,1
45017.64999,-72.86368555,1,1,1,1,1
45017.69999,-72.86215157,1,1,1,1,1
45017.74999,-72.86061627,1,1,1,1,1
45017.79999,-72.85907966,1,1,1,1,1
45017.84999,-72.85754173,1,1,1,1,1
45017.89999,-72.8560025,1,1,1,1,1
45017.94999,-72.85446198,1,1,1,1,1
45017.99999,-72.85292015,1,1,1,1,1
45018.04999,-72.85137703,1,1,1,1,1
45018.09999,-72.84983262,1,1,1,1,1
45018.14999,-72.84828693,1,1,1,1,1
45018.19999,-72.84673995,1,1,1,1,1
45018.24999,-72.8451917,1,1,1,1,1
45018.29999,-72.84364218,1,1,1,1,1
45018.34999,-72.84209139,1,1,1,1,1
45018.39999,-72.84053934,1,1,1,1,1
45018.44999,-72.83898603,1,1,1,1,1
45018.49999,-72.83743146,1,1,1,1,1
45018.54999,-72.83587564,1,1,1,1,1
45018.59999,-72.83431857,1,1,1,1,1
45018.64999,-72.83276026,1,1,1,1,1
45018.69999,-72.83120071,1,1,1,1,1
45018.74999,-72.82963993,1,1,1,1,1
45018.79999,-72.82807792,1,1,1,1,1
45018.84999,-72.82651468,1,1,1,1,1
45018.89999,-72.82495021,1,1,1,1,1
45018.94999,-72.82338453,1,1,1,1,1
45018.99999,-72.82181763,1,1,1,1,1
45019.04999,-72.82024952,1,1,1,1,1
45019.09999,-72.81868021,1,1,1,1,1
45019.14999,-72.81710969,1,1,1,1,1
45019.19999,-72.81553797,1,1,1,1,1
45019.24999,-72.81396506,1,1,1,1,1
45019.29999,-72.81239096,1,1,1,1,1
45019.34999,-72.81081567,1,1,1,1,1
45019.39999,-72.8092392,1,1,1,1,1
45019.44999,-72.80766155,1,1,1,1,1
45019.49999,-72.80608272,1,1,1,1,1
45019.54999,-72.80450272,1,1,1,1,1
45019.59999,-72.80292155,1,1,1,1,1
45019.64999,-72.80133922,1,1,1,1,1
45019.69999,-72.79975573,1,1,1,1,1
45019.74999,-72.79817108,1,1,1,1,1
45019.79999,-72.79658529,1,1,1,1,1
45019.84999,-72.79499834,1,1,1,1,1
45019.89999,-72.79341025,1,1,1,1,1
45019.94999,-72.79182101,1,1,1,1,1
45019.99999,-72.79023064,1,1,1,1,1
45020.04999,-72.78863914,1,1,1,1,1
45020.09999,-72.78704651,1,1,1,1,1
45020.14999,-72.78545275,1,1,1,1,1
45020.19999,-72.78385786,1,1,1,1,1
45020.24999,-72.78226186,1,1,1,1,1
45020.29999,-72.78066475,1,1,1,1,1
45020.34999,-72.77906652,1,1,1,1,1
45020.39999,-72.77746719,1,1,1,1,1
45020.44999,-72.77586675,1,1,1,1,1
45020.49999,-72.77426521,1,1,1,1,1
45020.54999,-72.77266258,1,1,1,1,1
45020.59999,-72.77105885,1,1,1,1,1
45020.64999,-72.76945404,1,1,1,1,1
45020.69999,-72.76784814,1,1,1,1,1
45020.74999,-72.76624115,1,1,1,1,1
45020.79999,-72.76463309,1,1,1,1,1
45020.84999,-72.76302395,1,1,1,1,1
45020.89999,-72.76141375,1,1,1,1,1
45020.94999,-72.75980247,1,1,1,1,1
45020.99999,-72.75819013,1,1,1,1,1
45021.04999,-72.75657673,1,1,1,1,1
45021.09999,-72.75496227,1,1,1,1,1
45021.14999,-72.75334676,1,1,1,1,1
45021.19999,-72.7517302,1,1,1,1,1
45021.24999,-72.75011259,1,1,1,1,1
45021.29999,-72.74849394,1,1,1,1,1
45021.34999,-72.74687425,1,1,1,1,1
45021.39999,-72.74525352,1,1,1,1,1
45021.44999,-72.74363176,1,1,1,1,1
45021.49999,-72.74200898,1,1,1,1,1
45021.54999,-72.74038516,1,1,1,1,1
45021.59999,-72.73876033,1,1,1,1,1
45021.64999,-72.73713447,1,1,1,1,1
45021.69999,-72.7355076,1,1,1,1,1
45021.74999,-72.73387971,1,1,1,1,1
45021.79999,-72.73225082,1,1,1,1,1
45021.84999,-72.73062093,1,1,1,1,1
45021.89999,-72.72899003,1,1,1,1,1
45021.94999,-72.72735813,1,1,1,1,1
45021.99999,-72.72572523,1,1,1,1,1
45022.04999,-72.72409135,1,1,1,1,1
45022.09999,-72.72245647,1,1,1,1,1
